Epoch,Train Loss,Train Acc,Val Loss,Val Acc,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR
0,4.383128152349101,59.29105872513498,3.9350630494312466,64.92146596858639,,,,0.1158831672537053,0.3466112754514134
1,3.936335153452588,64.80054713968013,3.8035674960191366,66.53879358360254,,,,0.12870729715574225,0.36004606160490066
2,3.8247238660404386,66.12340697301316,3.7483000742727817,67.32134900300768,,,,0.13328704464896726,0.36295096978388547
3,3.758425132945837,66.90651757664666,3.7186114075482126,67.68895510749694,,,,0.13634048088381343,0.36728673180482146
4,3.7116880352182666,67.43080844753119,3.7004318256211253,67.92358248858193,,,,0.1383627042537581,0.3664749614824066
5,3.6736071412945743,67.90308902351826,3.6856208644127597,68.12479113289518,,,,0.14018478613424726,0.37072186590827094
6,3.642443000569487,68.27479788657753,3.6794444486437414,68.24593405369276,,,,0.14270518226099727,0.37194223684093514
7,3.6147155054238076,68.5920021777194,3.678551204191346,68.30441684304333,,,,0.14125561151326013,0.37070339935158925
8,3.589323395876224,68.89159256200433,3.6770639693841938,68.34201292191155,,,,0.14362447146090182,0.3725707732446503
9,3.566249270959552,69.16670207924165,3.676279867754105,68.41024284282054,,,,0.14470979411866014,0.3739354837765584
10,3.5448044385657314,69.4447985701942,3.679547349942797,68.34340536927704,,,,0.1440057563167579,0.3726292839989715
11,3.5243304734018257,69.67615046218029,3.6829045281815107,68.39214102706917,,,,0.14327100610522586,0.37247944962026436
12,3.5058309572161317,69.89660143978291,3.6870504804515782,68.40885039545505,,,,0.14510130866565843,0.3735250744732196
13,3.487265062855459,70.12244128749037,3.6899002947496706,68.3956221454829,,,,0.14531223547342503,0.37345533050432606
14,3.4701208716603413,70.33205293779643,3.6954388298252794,68.33574690876685,,,,0.14313425671144298,0.3730653349386574
15,3.4547667457739686,70.52377353935445,3.6997787051049746,68.28144146151276,,,,0.14401698200701105,0.3733868293907988
16,3.438696260987167,70.71201447050194,3.70599325132042,68.26682076417511,,,,0.14298134659003006,0.37257321482949096
17,3.4247813549568136,70.8793465856427,3.7117949575650555,68.27030188258884,,,,0.14377920240924444,0.3733553945518382
18,3.410872808707848,71.07467003178509,3.718283728472212,68.23618692213434,,,,0.14421948732409418,0.3738444416512461
19,3.397997695360594,71.22287935643958,3.7250616891743067,68.11852511975047,,,,0.14315520831020004,0.37231105077158716
20,3.385896825591708,71.35643095440892,3.7299075059802704,68.12966469867439,,,,0.14238534115882642,0.37261050027535786
21,3.3736367994548018,71.50953645247294,3.735232351560482,68.04542163306228,,,,0.14154340520694847,0.3715139782548291
22,3.3422235264325444,71.91671947759369,3.7403516788498337,68.11782889606773,,,,0.14158071878530598,0.37191803648312416
23,3.326990269995318,72.11524545225554,3.747615696739298,68.02383869889718,,,,0.14119000462242162,0.37191554887914674
24,3.3156635060128727,72.26715000212475,3.755346920867865,68.03706694886934,,,,0.14254307729029528,0.3718720547419401
25,3.3063251707277206,72.37129376609347,3.760314391235194,67.9416843043333,,,,0.14305044166402958,0.3711070251301368
26,3.296310723566969,72.51583865907668,3.764435230656484,67.8811128439345,,,,0.14122620059914273,0.3712659974719
27,3.2874408380636866,72.61853512650296,3.7709223697628254,67.85813746240392,,,,0.1419455311247575,0.372028058340734
28,3.2800337411178835,72.72896077333674,3.780830273428579,67.82123760721845,,,,0.14055386191301272,0.3700262948679399
29,3.2728942509642076,72.81395095327572,3.7851723767065906,67.75718502840593,,,,0.14159914904907883,0.3700588477396051
30,3.246496500821743,73.16056307841822,3.7940801023670065,67.7662359362816,,,,0.14056519936741355,0.37024655728934813
31,3.2338715481459617,73.31175937678795,3.801670636009424,67.73281719950985,,,,0.1413192214346486,0.37069057523763554
32,3.226462383134095,73.42474088772859,3.80232565588996,67.70287958115183,,,,0.14122068269636154,0.37018998033551564
33,3.2192941981099135,73.51114757066657,3.810151837028333,67.6854739890832,,,,0.1412685283261012,0.37042639426704715
